"Coalizione","Dove","Partito","Circoscrizione","Collegio Uninominale","Città principale","Candidato"
"Movimento5Stelle","Senato","Movimento5Stelle","Piemonte","Piemonte - U02","Moncalieri","Elisa Pirro"
"Movimento5Stelle","Senato","Movimento5Stelle","Piemonte","Piemonte - U03","Novara","Luca Zacchero"
"Movimento5Stelle","Senato","Movimento5Stelle","Piemonte","Piemonte - U04","Alessandria","Mariassunta detta Susy
Matrisciano"
"Movimento5Stelle","Senato","Movimento5Stelle","Piemonte","Piemonte - U05","Cuneo","Roberto Falcone"
"Movimento5Stelle","Senato","Movimento5Stelle","Puglia","Puglia - U01","Foggia","Gisella Naturale"
"Movimento5Stelle","Senato","Movimento5Stelle","Puglia","Puglia - U02","Andria","Michele Coratella"
"Movimento5Stelle","Senato","Movimento5Stelle","Puglia","Puglia - U03","Bari","Maria La Ghezza"
"Movimento5Stelle","Senato","Movimento5Stelle","Puglia","Puglia - U04","Taranto","Roberto Fusco"
"Movimento5Stelle","Senato","Movimento5Stelle","Puglia","Puglia - U05","Lecce","Trevisi Antonio"
"Movimento5Stelle","Senato","Movimento5Stelle","Sardegna","Sardegna - U01","Cagliari","Sabrina Licheri"
"Movimento5Stelle","Senato","Movimento5Stelle","Sardegna","Sardegna - U02","Sassari","Marcello Cherchi"
"Movimento5Stelle","Senato","Movimento5Stelle","Sicilia","Sicilia - U01","Palermo","Dolores Bevilacqua"
"Movimento5Stelle","Senato","Movimento5Stelle","Sicilia","Sicilia - U02","Marsala","Giuseppe Chiazzese"
"Movimento5Stelle","Senato","Movimento5Stelle","Sicilia","Sicilia - U03","Gela","Pietro Lorefice"
"Movimento5Stelle","Senato","Movimento5Stelle","Sicilia","Sicilia - U04","Catania","Giuseppina Rannone"
"Movimento5Stelle","Senato","Movimento5Stelle","Sicilia","Sicilia - U05","Siracusa","Giuseppe Pisani"
"Movimento5Stelle","Senato","Movimento5Stelle","Sicilia","Sicilia - U06","Messina","Barbara Floridia"
"Movimento5Stelle","Senato","Movimento5Stelle","Toscana","Toscana - U01","Arezzo","Andrea Barbagli"
"Movimento5Stelle","Senato","Movimento5Stelle","Toscana","Toscana - U02","Livorno","Valeria Marrocco"
"Movimento5Stelle","Senato","Movimento5Stelle","Toscana","Toscana - U03","Prato","Manuela Bellandi"
"Movimento5Stelle","Senato","Movimento5Stelle","Toscana","Toscana - U04","Firenze","Claudio Cantella"
"Movimento5Stelle","Senato","Movimento5Stelle","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U01","Trento","Paolo Minotto"
"Movimento5Stelle","Senato","Movimento5Stelle","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U02","Rovereto","Giulio Angelini"
"Movimento5Stelle","Senato","Movimento5Stelle","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U03","Pergine Valsugana","Rosa Michela Rizzi"
"Movimento5Stelle","Senato","Movimento5Stelle","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U04","Bolzano/Bozen","Renzo Roncat"
"Movimento5Stelle","Senato","Movimento5Stelle","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U05","Merano/Meran","Francesca Morrone"
"Movimento5Stelle","Senato","Movimento5Stelle","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U06","Bressanone/Brixen","Markus Falk"
"Movimento5Stelle","Senato","Movimento5Stelle","Umbria","Umbria - U01","Perugia","Federico Pasculli"
"Movimento5Stelle","Senato","Movimento5Stelle","Valle d'Aosta","Valle d'aosta/Vallée d'Aoste -
U01","Aosta","Erika Guishardaz"
"Movimento5Stelle","Senato","Movimento5Stelle","Veneto","Veneto - U01","Venezia","Sara Giaggio"
"Movimento5Stelle","Senato","Movimento5Stelle","Veneto","Veneto - U02","Treviso","Flavio Baldan"
"Movimento5Stelle","Senato","Movimento5Stelle","Veneto","Veneto - U03","Padova","Giorgio Burlini"
"Movimento5Stelle","Senato","Movimento5Stelle","Veneto","Veneto - U04","Vicenza","Barbara Guidolin"
"Movimento5Stelle","Senato","Movimento5Stelle","Veneto","Veneto - U05","Verona","Maura Zambon"
"Azione-IV","Senato","Azione-IV","Abruzzo","Abruzzo - U01","Pescara","Gianfranco Giuliante"
"Azione-IV","Senato","Azione-IV","Basilicata","Basilicata - U01","Potenza","Mariangela Guerra"
"Azione-IV","Senato","Azione-IV","Calabria","Calabria - U01","Corigliano-Rossano","Daniela Ventura"
"Azione-IV","Senato","Azione-IV","Calabria","Calabria - U02","Reggio di Calabria","Agostino Siviglia"
"Azione-IV","Senato","Azione-IV","Campania","Campania - U01","Caserta","Ovidio Marzaioli"
"Azione-IV","Senato","Azione-IV","Campania","Campania - U02","Benevento","Francesca Mite"
"Azione-IV","Senato","Azione-IV","Campania","Campania - U03","Salerno","Luigi Casciello"
"Azione-IV","Senato","Azione-IV","Campania","Campania - U04","Napoli","Peppe Russo"
"Azione-IV","Senato","Azione-IV","Campania","Campania - U05","Giugliano in Campania","Vittoria Cristiano"
"Azione-IV","Senato","Azione-IV","Campania","Campania - U06","Torre del Greco","Mario Scognamiglio"
"Azione-IV","Senato","Azione-IV","Campania","Campania - U07","Acerra","Anita Di Palma"
"Azione-IV","Senato","Azione-IV","Emilia-Romagna","Emilia-Romagna - U01","Parma","Alessandro Sbalbi"
"Azione-IV","Senato","Azione-IV","Emilia-Romagna","Emilia-Romagna - U02","Modena","Chiara Caselgrandi"
"Azione-IV","Senato","Azione-IV","Emilia-Romagna","Emilia-Romagna - U03","Bologna","Marco Lombardo"
"Azione-IV","Senato","Azione-IV","Emilia-Romagna","Emilia-Romagna - U04","Ravenna","Silvia Kranz"
"Azione-IV","Senato","Azione-IV","Emilia-Romagna","Emilia-Romagna - U05","Rimini","Elena Leardini"
"Azione-IV","Senato","Azione-IV","Friuli-Venezia Giulia","Friuli-Venezia Giulia - U01","Trieste","Giuliano Castenetto"
"Azione-IV","Senato","Azione-IV","Lazio","Lazio - U01","Viterbo","Alessandro Sterpa"
"Azione-IV","Senato","Azione-IV","Lazio","Lazio - U02","Roma: Municipio XIV","Carlo Calenda"
"Azione-IV","Senato","Azione-IV","Lazio","Lazio - U03","Roma: Municipio V","Livia Pandolfi"
"Azione-IV","Senato","Azione-IV","Lazio","Lazio - U04","Roma: Municipio VII","Rita Iorio"
"Azione-IV","Senato","Azione-IV","Lazio","Lazio - U05","Guidonia Montecelio","Ileana Katia Piazzoni"
"Azione-IV","Senato","Azione-IV","Lazio","Lazio - U06","Latina","Adamo Pantano"
"Azione-IV","Senato","Azione-IV","Liguria","Liguria - U01","Genova: Municipio VII -
Ponente","Maria Caridi"
"Azione-IV","Senato","Azione-IV","Liguria","Liguria - U02","La Spezia","Michele Carrella"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U01","Varese","Giusy Versace"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U02","Como","Giuseppe Conti"
