"Dove","Regione","Elettori","Votanti","Percentuale votanti","Schede nulle","Schede bianche","Schede contestate","Coalizioni e liste","Voti","Percentuale voti","Seggi","Candidati uninominali eletti","Totale"
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"UNIONE POPOLARE CON DE MAGISTRIS",16635,"1.47",NA,NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"ITALEXIT PER L'ITALIA",13010,"1.15",NA,NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"ITALIA SOVRANA E POPOLARE",9235,"0.81",NA,NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO",4634,"0.41",NA,NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"PARTITO COMUNISTA ITALIANO",3341,"0.29",NA,NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"VITA",2239,"0.2",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",898085,"38.93","8",7,15
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"FRATELLI D'ITALIA CON GIORGIA MELONI",577154,"25.02","5",NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"LEGA PER SALVINI PREMIER",173509,"7.52","2",NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"FORZA ITALIA",134382,"5.83","1",NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",13040,"0.57",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO",829381,"35.95","6",4,10
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA",648373,"28.1","5",NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"ALLEANZA VERDI E SINISTRA",99744,"4.32","1",NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"PIUEUROPA",72866,"3.16",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO",8398,"0.36",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"MOVIMENTO 5 STELLE",228663,"9.91","2",NA,2
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"AZIONE  ITALIA VIVA  CALENDA",197338,"8.55","2",NA,2
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"ITALEXIT PER L'ITALIA",44723,"1.94",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"ITALIA SOVRANA E POPOLARE",32984,"1.43",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"UNIONE POPOLARE CON DE MAGISTRIS",32319,"1.4",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"VITA",25389,"1.1",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"PARTITO ANIMALISTA  UCDL  10 VOLTE MEGLIO",14567,"0.63",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"MASTELLA NOI DI CENTRO EUROPEISTI",1921,"0.08",NA,NA,NA
"CAMERA","EMILIAROMAGNA",3328327,2395342,71.97,57192,31001,200,"SUD CHIAMA NORD",1601,"0.07",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",295157,"49.87","3",3,6
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"FRATELLI D'ITALIA CON GIORGIA MELONI",185234,"31.3","2",NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"LEGA PER SALVINI PREMIER",64806,"10.95","1",NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"FORZA ITALIA",39599,"6.69",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",5518,"0.93",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO",152400,"25.75","1",NA,1
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA",108870,"18.4","1",NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"ALLEANZA VERDI E SINISTRA",21986,"3.72",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"PIUEUROPA",19288,"3.26",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO",2256,"0.38",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"AZIONE  ITALIA VIVA  CALENDA",51624,"8.72","1",NA,1
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"MOVIMENTO 5 STELLE",42575,"7.19",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"ITALEXIT PER L'ITALIA",18966,"3.2",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"ITALIA SOVRANA E POPOLARE",11419,"1.93",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"VITA",8857,"1.5",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"UNIONE POPOLARE CON DE MAGISTRIS",7734,"1.31",NA,NA,NA
