Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P02;ITALEXIT PER L'ITALIA;DOMENICO ALESSANDRO MASCIALINO
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P03;ITALEXIT PER L'ITALIA;MARIANTONELLA RIZZO
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P03;ITALEXIT PER L'ITALIA;COSIMO BRECCIA
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P03;ITALEXIT PER L'ITALIA;MARGHERITA SAMMARCO
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P03;ITALEXIT PER L'ITALIA;FABIO COLUCCI
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P04;ITALEXIT PER L'ITALIA;GIANLUIGI PARAGONE
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P04;ITALEXIT PER L'ITALIA;RAFFAELLA REGOLI
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P04;ITALEXIT PER L'ITALIA;CATALDO MININNO
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P04;ITALEXIT PER L'ITALIA;CRISTINA PAOLINO
CAMERA DEI DEPUTATI;BASILICATA;BASILICATA - P01;ITALEXIT PER L'ITALIA;ROMINA PALUDI
CAMERA DEI DEPUTATI;BASILICATA;BASILICATA - P01;ITALEXIT PER L'ITALIA;GIORGIO SANTORIELLO
CAMERA DEI DEPUTATI;BASILICATA;BASILICATA - P01;ITALEXIT PER L'ITALIA;ROSALINDA PISCHETOLA
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;ITALEXIT PER L'ITALIA;MASSIMO CRISTIANO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;ITALEXIT PER L'ITALIA;ANGELA BARRESI
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;ITALEXIT PER L'ITALIA;GIUSEPPE ANTONIO GERMANO'
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;ITALEXIT PER L'ITALIA;MARIA PANGALLO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;ITALEXIT PER L'ITALIA;GIUSEPPE DE SANTIS
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;ITALEXIT PER L'ITALIA;VALENTINA SERRANO'
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;ITALEXIT PER L'ITALIA;SALVATORE LONGO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;ITALEXIT PER L'ITALIA;CORINNE LATTEUR
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;ITALEXIT PER L'ITALIA;ADRIANA CAVASINO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;ITALEXIT PER L'ITALIA;MAURIZIO MICHELE BLO'
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;ITALEXIT PER L'ITALIA;ROSSELLA ALFIERI
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;ITALEXIT PER L'ITALIA;PAOLO MORSELLINO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;ITALEXIT PER L'ITALIA;VALENTINA SERRANO'
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;ITALEXIT PER L'ITALIA;MARCELLO DONATO LEMMA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;ITALEXIT PER L'ITALIA;VINCENZA BONASERA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;ITALEXIT PER L'ITALIA;LUIGI SAVOCA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;ITALEXIT PER L'ITALIA;LORIANA ANNAMARIA GATTO ROTONDO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;ITALEXIT PER L'ITALIA;SANTO MUSUMECI
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;ITALEXIT PER L'ITALIA;ELENA AGATA MALAFARINA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;ITALEXIT PER L'ITALIA;MARIO MICHELE GIARRUSSO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;ITALEXIT PER L'ITALIA;LORIANA ANNAMARIA GATTO ROTONDO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;ITALEXIT PER L'ITALIA;FEDERICO MARIA GIUSEPPE DONZELLI
